09:00:01.019601 ARP, Request who-has 10.1.1.2 (Broadcast) tell 10.1.1.1, length 50
09:00:01.019601 ARP, Request who-has 10.1.1.2 (Broadcast) tell 10.1.1.1, length 50
09:00:01.036422 ARP, Reply 10.1.1.2 is-at 00:00:00:00:00:28 (oui Ethernet), length 50
09:00:01.040857 ARP, Reply 10.1.1.2 is-at 00:00:00:00:00:28 (oui Ethernet), length 50
09:00:06.023601 ARP, Request who-has 10.1.1.1 (Broadcast) tell 10.1.1.2, length 50
09:00:06.023601 ARP, Request who-has 10.1.1.1 (Broadcast) tell 10.1.1.2, length 50
09:00:06.060404 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.066057 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.069585 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.073316 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.080094 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.086387 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.089394 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.108185 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.111288 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.114498 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.118067 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.128933 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.135745 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.142643 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.153184 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.160378 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.167219 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.177914 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.184955 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.191795 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.202551 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.209715 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.216371 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.227364 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.233846 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.240947 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
09:00:06.251402 IP 10.1.1.2.49153 > 10.1.1.1.discard: UDP, length 512
